inventory_id,store_id,product_id,current_stock,reorder_point,stockout_days_last_month,avg_daily_sales,last_restock_date
INV000001,STR0001,PRD0001,205,61,3,6.83,2024-09-11
INV000002,STR0001,PRD0002,70,21,4,2.33,2024-09-10
INV000003,STR0001,PRD0003,275,82,3,9.17,2024-09-17
INV000004,STR0001,PRD0004,201,60,3,6.7,2024-09-12
INV000005,STR0001,PRD0005,234,70,0,7.8,2024-09-11
INV000006,STR0001,PRD0006,212,63,1,7.07,2024-09-12
INV000007,STR0001,PRD0007,220,66,1,7.33,2024-09-14
INV000008,STR0001,PRD0008,199,59,0,6.63,2024-09-24
INV000009,STR0001,PRD0009,88,26,2,2.93,2024-09-03
INV000010,STR0001,PRD0010,204,61,2,6.8,2024-09-05
INV000011,STR0001,PRD0011,280,84,3,9.33,2024-09-09
INV000012,STR0001,PRD0012,91,27,0,3.03,2024-09-07
INV000013,STR0001,PRD0013,62,18,0,2.07,2024-09-21
INV000014,STR0001,PRD0014,170,51,1,5.67,2024-09-12
INV000015,STR0001,PRD0015,149,44,0,4.97,2024-09-29
INV000016,STR0001,PRD0016,102,30,3,3.4,2024-09-13
INV000017,STR0001,PRD0017,64,19,1,2.13,2024-09-09
INV000018,STR0001,PRD0018,208,62,4,6.93,2024-09-23
INV000019,STR0001,PRD0019,70,21,3,2.33,2024-09-15
INV000020,STR0001,PRD0020,294,88,2,9.8,2024-09-06
INV000021,STR0001,PRD0021,88,26,3,2.93,2024-09-02
INV000022,STR0001,PRD0022,271,81,1,9.03,2024-09-28
INV000023,STR0001,PRD0023,216,64,1,7.2,2024-09-08
INV000024,STR0001,PRD0024,117,35,2,3.9,2024-09-27
INV000025,STR0001,PRD0025,253,75,3,8.43,2024-09-21
INV000026,STR0001,PRD0026,203,60,0,6.77,2024-09-06
INV000027,STR0001,PRD0027,91,27,1,3.03,2024-09-15
INV000028,STR0001,PRD0028,122,36,4,4.07,2024-09-21
INV000029,STR0001,PRD0029,108,32,0,3.6,2024-09-01
INV000030,STR0001,PRD0030,53,15,4,1.77,2024-09-11
INV000031,STR0001,PRD0031,139,41,0,4.63,2024-09-17
INV000032,STR0001,PRD0032,280,84,1,9.33,2024-09-07
INV000033,STR0001,PRD0033,279,83,3,9.3,2024-09-23
INV000034,STR0001,PRD0034,141,42,2,4.7,2024-09-26
INV000035,STR0001,PRD0035,136,40,2,4.53,2024-09-15
INV000036,STR0001,PRD0036,212,63,2,7.07,2024-09-04
INV000037,STR0001,PRD0037,268,80,3,8.93,2024-09-04
INV000038,STR0001,PRD0038,105,31,1,3.5,2024-09-13
INV000039,STR0001,PRD0039,293,87,0,9.77,2024-09-22
INV000040,STR0002,PRD0001,208,62,2,6.93,2024-09-09
INV000041,STR0002,PRD0002,142,42,1,4.73,2024-09-01
INV000042,STR0002,PRD0003,113,33,0,3.77,2024-09-26
INV000043,STR0002,PRD0004,88,26,3,2.93,2024-09-05
INV000044,STR0002,PRD0005,81,24,0,2.7,2024-09-29
INV000045,STR0002,PRD0006,177,53,1,5.9,2024-09-06
INV000046,STR0002,PRD0007,201,60,2,6.7,2024-09-11
INV000047,STR0002,PRD0008,55,16,4,1.83,2024-09-18
INV000048,STR0002,PRD0009,179,53,4,5.97,2024-09-25
INV000049,STR0002,PRD0010,242,72,4,8.07,2024-09-10
INV000050,STR0002,PRD0011,187,56,0,6.23,2024-09-13
INV000051,STR0002,PRD0012,61,18,0,2.03,2024-09-01
INV000052,STR0002,PRD0013,141,42,4,4.7,2024-09-20
INV000053,STR0002,PRD0014,151,45,0,5.03,2024-09-21
INV000054,STR0002,PRD0015,80,24,1,2.67,2024-09-17
INV000055,STR0002,PRD0016,146,43,2,4.87,2024-09-04
INV000056,STR0002,PRD0017,94,28,0,3.13,2024-09-13
INV000057,STR0002,PRD0018,165,49,2,5.5,2024-09-05
INV000058,STR0002,PRD0019,53,15,2,1.77,2024-09-01
INV000059,STR0002,PRD0020,105,31,1,3.5,2024-09-14
INV000060,STR0002,PRD0021,236,70,2,7.87,2024-09-13
INV000061,STR0002,PRD0022,75,22,0,2.5,2024-09-13
INV000062,STR0002,PRD0023,72,21,1,2.4,2024-09-20
INV000063,STR0002,PRD0024,286,85,3,9.53,2024-09-27
INV000064,STR0002,PRD0025,196,58,4,6.53,2024-09-19
INV000065,STR0002,PRD0026,231,69,1,7.7,2024-09-25
INV000066,STR0002,PRD0027,255,76,3,8.5,2024-09-23
INV000067,STR0002,PRD0028,136,40,3,4.53,2024-09-21
INV000068,STR0002,PRD0029,222,66,3,7.4,2024-09-29
INV000069,STR0002,PRD0030,199,59,2,6.63,2024-09-11
INV000070,STR0002,PRD0031,165,49,0,5.5,2024-09-07
INV000071,STR0002,PRD0032,50,15,4,1.67,2024-09-17
INV000072,STR0002,PRD0033,210,63,2,7.0,2024-09-12
INV000073,STR0002,PRD0034,132,39,3,4.4,2024-09-06
INV000074,STR0002,PRD0035,64,19,0,2.13,2024-09-01
INV000075,STR0002,PRD0036,85,25,4,2.83,2024-09-22
INV000076,STR0002,PRD0037,215,64,3,7.17,2024-09-04
INV000077,STR0002,PRD0038,69,20,3,2.3,2024-09-11
INV000078,STR0002,PRD0039,231,69,0,7.7,2024-09-11
INV000079,STR0003,PRD0001,292,87,1,9.73,2024-09-26
INV000080,STR0003,PRD0002,197,59,0,6.57,2024-09-15
INV000081,STR0003,PRD0003,171,51,1,5.7,2024-09-14
INV000082,STR0003,PRD0004,124,37,0,4.13,2024-09-06
INV000083,STR0003,PRD0005,299,89,4,9.97,2024-09-16
INV000084,STR0003,PRD0006,168,50,1,5.6,2024-09-20
INV000085,STR0003,PRD0007,187,56,3,6.23,2024-09-05
INV000086,STR0003,PRD0008,82,24,4,2.73,2024-09-27
INV000087,STR0003,PRD0009,130,39,2,4.33,2024-09-12
INV000088,STR0003,PRD0010,112,33,3,3.73,2024-09-26
INV000089,STR0003,PRD0011,245,73,4,8.17,2024-09-15
INV000090,STR0003,PRD0012,252,75,0,8.4,2024-09-27
INV000091,STR0003,PRD0013,244,73,4,8.13,2024-09-27
INV000092,STR0003,PRD0014,174,52,4,5.8,2024-09-08
INV000093,STR0003,PRD0015,220,66,4,7.33,2024-09-13
