customer_id,primary_store_id,region_tier,age,income_bracket,digital_literacy_score,registration_date
CUST000001,STR0091,Tier 3,37,15-25K,6.419818846990705,2023-01-16
CUST000002,STR0018,Metro,38,25-50K,4.7089889657299375,2023-04-24
CUST000003,STR0051,Tier 2,46,25-50K,6.9480907139727694,2023-04-19
CUST000004,STR0107,Tier 3,46,15-25K,4.183425968410393,2023-11-23
CUST000005,STR0100,Tier 3,18,10-15K,7.62321665111798,2023-09-09
CUST000006,STR0013,Metro,36,75K+,8.108387035323275,2024-02-17
CUST000007,STR0016,Metro,39,50-75K,5.446508993977791,2024-01-01
CUST000008,STR0023,Metro,38,50-75K,4.546012546307981,2023-11-04
CUST000009,STR0022,Metro,24,25-50K,4.245211697598873,2023-01-05
CUST000010,STR0039,Metro,36,25-50K,8.122993032419986,2024-02-11
CUST000011,STR0023,Metro,20,25-50K,4.917154835105992,2023-04-22
CUST000012,STR0007,Metro,36,25-50K,7.663720254649796,2023-11-16
CUST000013,STR0021,Metro,35,75K+,4.838634259757737,2023-12-27
CUST000014,STR0049,Tier 2,50,25-50K,7.988463079619216,2024-03-16
CUST000015,STR0030,Metro,24,75K+,4.920108418696481,2023-05-21
CUST000016,STR0013,Metro,18,75K+,4.027792138027618,2024-02-29
CUST000017,STR0008,Metro,32,25-50K,9.388325736644283,2023-02-01
CUST000018,STR0026,Metro,31,25-50K,8.799496512239136,2023-03-08
CUST000019,STR0091,Tier 3,52,10-15K,6.1207445392456705,2024-02-26
CUST000020,STR0067,Tier 2,18,15-25K,3.6844281503440364,2023-11-09
CUST000021,STR0038,Metro,27,50-75K,7.581057093501335,2023-07-20
CUST000022,STR0053,Tier 2,36,15-25K,6.527875862578442,2023-07-18
CUST000023,STR0098,Tier 3,49,15-25K,6.079315940911523,2024-01-17
CUST000024,STR0026,Metro,20,50-75K,5.3095233271903854,2023-10-20
CUST000025,STR0058,Tier 2,57,25-50K,3.1743258011691244,2023-03-09
CUST000026,STR0059,Tier 2,28,50-75K,6.98713010803464,2023-06-17
CUST000027,STR0030,Metro,22,75K+,8.732841891224465,2024-02-08
